id,osmid_fake,x,y
0,0,202,0
1,0,203,0
2,0,204,0
3,0,205,0
4,0,206,0
5,0,207,0
6,0,208,0
7,0,209,0
8,0,210,0
9,0,211,0
10,0,212,0
11,0,213,0
12,0,214,0
13,0,215,0
14,0,216,0
15,0,217,0
16,0,218,0
17,0,219,0
18,0,202,1
19,0,203,1
20,0,204,1
21,0,205,1
22,0,206,1
23,0,207,1
24,0,208,1
25,0,209,1
26,0,210,1
27,0,211,1
28,0,212,1
29,0,213,1
30,0,214,1
31,0,215,1
32,0,216,1
33,0,217,1
34,0,218,1
35,0,219,1
36,0,202,2
37,0,203,2
38,0,204,2
39,0,205,2
40,0,206,2
41,0,207,2
42,0,208,2
43,0,209,2
44,0,210,2
45,0,211,2
46,0,212,2
47,0,213,2
48,0,214,2
49,0,215,2
50,0,216,2
51,0,217,2
52,0,218,2
53,0,219,2
54,0,202,3
55,0,203,3
56,0,204,3
57,0,205,3
58,0,206,3
59,0,207,3
60,0,208,3
61,0,209,3
62,0,210,3
63,0,211,3
64,0,212,3
65,0,213,3
66,0,214,3
67,0,215,3
68,0,216,3
69,0,217,3
70,0,218,3
71,0,219,3
72,0,202,4
73,0,203,4
74,0,204,4
75,0,205,4
76,0,206,4
77,0,207,4
78,0,208,4
79,0,209,4
80,0,210,4
81,0,211,4
82,0,212,4
83,0,213,4
84,0,214,4
85,0,215,4
86,0,216,4
87,0,217,4
88,0,218,4
89,0,219,4
90,0,202,5
91,0,203,5
92,0,204,5
93,0,205,5
94,0,206,5
95,0,207,5
96,0,208,5
97,0,209,5
98,0,210,5
99,0,211,5
100,0,212,5
101,0,213,5
102,0,214,5
103,0,215,5
104,0,216,5
105,0,217,5
106,0,218,5
107,0,219,5
108,0,202,6
109,0,203,6
110,0,204,6
111,0,205,6
112,0,206,6
113,0,207,6
114,0,208,6
115,0,209,6
116,0,210,6
117,0,211,6
118,0,212,6
119,0,213,6
120,0,214,6
121,0,215,6
122,0,216,6
123,0,217,6
124,0,218,6
125,0,219,6
126,0,202,7
127,0,203,7
128,0,204,7
129,0,205,7
130,0,206,7
131,0,207,7
132,0,208,7
133,0,209,7
134,0,210,7
135,0,211,7
