"pkBairro";"nmBairro";"fkCidade"
"1";"Centro                                                                                              ";"1"
"2";"Castelo                                                                                             ";"67"
"3";"Catumbi                                                                                             ";"67"
"4";"Centro                                                                                              ";"41"
"5";"Cidade Nova                                                                                         ";"91"
"6";"Estácio                                                                                             ";"67"
"8";"Lapa                                                                                                ";"67"
"9";"Paquetá                                                                                             ";"67"
"10";"Santa Teresa                                                                                        ";"67"
"11";"Santo Cristo                                                                                        ";"67"
"12";"Saúde                                                                                               ";"67"
"13";"Botafogo                                                                                            ";"67"
"14";"Catete                                                                                              ";"67"
"15";"Copacabana                                                                                          ";"67"
"16";"Cosme Velho                                                                                         ";"67"
"17";"Flamengo                                                                                            ";"67"
"18";"Gávea                                                                                               ";"67"
"19";"Glória                                                                                              ";"67"
"20";"Humaitá                                                                                             ";"67"
"21";"Ipanema                                                                                             ";"67"
"22";"Jardim Botânico                                                                                     ";"67"
"23";"Lagoa                                                                                               ";"67"
"24";"Laranjeiras                                                                                         ";"67"
"25";"Leblon                                                                                              ";"67"
"26";"Leme                                                                                                ";"67"
"27";"Rocinha                                                                                             ";"67"
"28";"São Conrado                                                                                         ";"67"
"29";"Urca                                                                                                ";"67"
"30";"Vidigal                                                                                             ";"67"
"31";"Abolição                                                                                            ";"67"
"32";"Acari                                                                                               ";"67"
"33";"Água Santa                                                                                          ";"67"
"34";"Aldeia Campista                                                                                     ";"67"
"35";"Alto da Boa Vista                                                                                   ";"67"
"36";"Anchieta                                                                                            ";"67"
"37";"Andaraí                                                                                             ";"67"
"38";"Bancários                                                                                           ";"67"
"39";"Barros Filho                                                                                        ";"67"
"40";"Benfica                                                                                             ";"67"
"41";"Bento Ribeiro                                                                                       ";"67"
"42";"Bonsucesso                                                                                          ";"67"
"43";"Brás de Pina                                                                                        ";"67"
"44";"Cachambi                                                                                            ";"67"
"45";"Cacuia                                                                                              ";"67"
"46";"Cascadura                                                                                           ";"67"
"47";"Cavalcante                                                                                          ";"67"
"48";"Cidade Universitária                                                                                ";"67"
"49";"Cocotá                                                                                              ";"67"
"50";"Coelho Neto                                                                                         ";"67"
"51";"Colégio                                                                                             ";"67"
"52";"Complexo da Maré                                                                                    ";"67"
"53";"Complexo do Alemão                                                                                  ";"67"
"54";"Cordovil                                                                                            ";"67"
"55";"Costa Barros                                                                                        ";"67"
"56";"Del Castilho                                                                                        ";"67"
"57";"Encantado                                                                                           ";"67"
"58";"Engenheiro Leal                                                                                     ";"67"
"59";"Engenho da Rainha                                                                                   ";"67"
"60";"Engenho de Dentro                                                                                   ";"67"
"61";"Engenho Novo                                                                                        ";"67"
"62";"Freguesia da Ilha                                                                                   ";"67"
"63";"Galeão                                                                                              ";"67"
"64";"Grajaú                                                                                              ";"67"
"65";"Guadalupe                                                                                           ";"67"
"66";"Higienópolis                                                                                        ";"67"
"67";"Honório Gurgel                                                                                      ";"67"
"68";"Inhaúma                                                                                             ";"67"
"69";"Irajá                                                                                               ";"67"
"70";"Jacaré                                                                                              ";"67"
"71";"Jacarezinho                                                                                         ";"67"
"72";"Jardim América                                                                                      ";"67"
"73";"Jardim Carioca                                                                                      ";"67"
"74";"Jardim Guanabara                                                                                    ";"67"
"75";"Lins de Vasconcelos                                                                                 ";"67"
"76";"Madureira                                                                                           ";"67"
"77";"Manguinhos                                                                                          ";"67"
"78";"Maracanã                                                                                            ";"67"
"79";"Marechal Hermes                                                                                     ";"67"
"80";"Maria da Graça                                                                                      ";"67"
"81";"Méier                                                                                               ";"67"
"82";"Moneró                                                                                              ";"67"
"83";"Olaria                                                                                              ";"67"
"84";"Oswaldo Cruz                                                                                        ";"67"
"85";"Parada de Lucas                                                                                     ";"67"
"86";"Parque Anchieta                                                                                     ";"67"
"87";"Parque Colúmbia                                                                                     ";"67"
"88";"Pavuna                                                                                              ";"67"
"89";"Penha                                                                                               ";"67"
"90";"Penha Circular                                                                                      ";"67"
"91";"Piedade                                                                                             ";"67"
"92";"Pilares                                                                                             ";"67"
"93";"Pitangueiras                                                                                        ";"67"
"94";"Portuguesa                                                                                          ";"67"
"95";"Praça da Bandeira                                                                                   ";"67"
"96";"Praia da Bandeira                                                                                   ";"67"
"97";"Quintino Bocaiúva                                                                                   ";"67"
"98";"Ramos                                                                                               ";"67"
"99";"Riachuelo                                                                                           ";"67"
"100";"Ribeira                                                                                             ";"67"
"101";"Ricardo de Albuquerque                                                                              ";"67"
"102";"Rio Comprido                                                                                        ";"67"
"103";"Rocha                                                                                               ";"67"
"104";"Rocha Miranda                                                                                       ";"67"
"105";"Sampaio                                                                                             ";"67"
