"pkPonto";"nmPonto";"fkLinha";"hrDePassagem";"hrDePassagemVolta";"fkBairro";"ativo";"usuarioIncluiu";"dataAlteracao"
"799";" R. Auristela c/ R. Vieira de Campos ";"50";"06:38:00.0000000";"NULL";"153";"S";"NULL";"NULL"
"801";"Av.  João XXIII, 1613";"46";"07:06:00.0000000";"NULL";"153";"S";"roberto.silva";"2023-07-28 00:00:00.000"
"805";"Av. Antares, 1981 (Assembléia de Deus) ";"46";"06:46:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-04-16 00:00:00.000"
"806";"Av. Antares, 1027";"46";"06:45:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-04-16 00:00:00.000"
"807";"Av. Antares, 2392 (Antiga Continac)";"46";"06:47:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-04-16 00:00:00.000"
"808";"Av. Areia Branca nº2378 c/ R. Cincinato de Freitas (Creche)";"50";"06:34:00.0000000";"NULL";"153";"S";"NULL";"NULL"
"810";"Av. Areia Branca nº1731 c/ R. São Benedito (Igreja São Benedito)";"50";"06:39:00.0000000";"NULL";"153";"S";"NULL";"NULL"
"811";"Av. Areia Branca nº1844 c/ R. Serra Grande (P. de Ônibus)";"50";"06:35:00.0000000";"NULL";"153";"S";"NULL";"NULL"
"812";"Av. Ayrton Senna c/ R. México (Rua da Bandeira)";"58";"07:06:00.0000000";"NULL";"344";"N";"NULL";"NULL"
"814";"Av. Dep. Octávio Cabral, 427 (Frente a Light) [22°52'20.4""S 43°46'14.7""W]";"58";"07:08:00.0000000";"NULL";"344";"S";"paulo.thiago";"2024-07-30 00:00:00.000"
"819";"Avenida Brasil c/ Estr. Sargento Miguel Filho (P. de Gasolina Fabiana Oeste)";"60";"06:40:00.0000000";"NULL";"123";"S";"NULL";"NULL"
"820";"Estrada do Vigário Geral c/ Nº. 913 (Atrás da Fiorenza)";"58";"06:25:00.0000000";"NULL";"85";"N";"NULL";"NULL"
"821";"Avenida Brasil c/ Posto Gasolina Mendanha (Shopping Avenida)";"60";"06:46:00.0000000";"NULL";"129";"S";"NULL";"NULL"
"823";"Avenida Brasil c/ Palazzo Motel [22°51'34.7""S 43°27'28.1""W]";"60";"06:36:00.0000000";"NULL";"147";"S";"paulo.thiago";"2024-07-17 00:00:00.000"
"826";"Avenida Cesário de Melo , 14196 (Grupo TMC) c/ R. Felipe Cardoso [22°56'07.8""S 43°39'59.7""W]";"59";"06:50:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-10-30 00:00:00.000"
"828";"Estr. da Pedra c/ BRT Vendas de Varanda";"59";"06:48:00.0000000";"NULL";"139";"N";"NULL";"NULL"
"829";"Avenida das Americas c/ Estação do BRT Magarça";"59";"06:42:00.0000000";"NULL";"139";"S";"paulo.thiago";"2023-12-08 00:00:00.000"
"830";"Avenida das Americas c/ KM-17 (Nova Barra- P.ônibus)";"59";"06:20:00.0000000";"NULL";"152";"S";"paulo.thiago";"2023-12-08 00:00:00.000"
"831";"Av. Doutor Arruda Negreiros c/ Rua Camila César";"49";"06:12:00.0000000";"NULL";"964";"S";"NULL";"NULL"
"832";"Av. Torres Homem com Rua Grinaldina Moreira";"49";"06:21:00.0000000";"NULL";"652";"S";"NULL";"NULL"
"834";"Av. Borges de Medeiros (1º ponto após Rua Maria Angélica)";"62";"06:12:00.0000000";"NULL";"23";"S";"NULL";"NULL"
"839";"Av. Presidente Costa e Silva, 1745 (LE Automóveis)";"53";"06:18:00.0000000";"NULL";"674";"S";"paulo.thiago";"2024-06-13 00:00:00.000"
"841";"Av. João XXIII nº1007 c/ Ponto Antes da Ponte do Rio Ita";"46";"07:00:00.0000000";"NULL";"153";"N";"NULL";"NULL"
"842";"Av. João XXIII c/ Conjunto Liberdade";"46";"07:01:00.0000000";"NULL";"153";"N";"NULL";"NULL"
"844";"Av. João XXIII, 622";"46";"07:00:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-04-16 00:00:00.000"
"849";"Av. Lauro Sodré, 150";"62";"05:37:00.0000000";"NULL";"688";"S";"paulo.thiago";"2024-02-02 00:00:00.000"
"852";"Av. Ten-aviador Nilton Campos Soares c/ Praça Igreja Católica - Paróquia São Mateus";"49";"06:15:00.0000000";"NULL";"215";"S";"NULL";"NULL"
"856";"Av. Padre Guilherme Decaminada, 430 c/ R. Melgaço (P.Ônibus)";"50";"06:59:00.0000000";"NULL";"153";"S";"paulo.thiago";"2024-06-10 00:00:00.000"
"857";"Av. Pr. Martin Luther King Jr. c/ Praça de Coelho Neto (Praça Profª Virginia Cidade)";"60";"06:21:00.0000000";"NULL";"50";"S";"NULL";"NULL"
"859";"Av. Pr. Martin Luther King Jr./ Metro de Irajá";"60";"06:15:00.0000000";"NULL";"69";"S";"NULL";"NULL"
"862";"Avenida Governador Leonel de Moura Brizola Próximo Ao 2402 c/ Banco Itaú";"58";"06:03:00.0000000";"NULL";"765";"S";"paulo.thiago";"2024-11-05 00:00:00.000"
