nmPonto;latitude;longitude
NUCLEP;-22.8934134;-43.8288403
Avenida Geremario Dantas, 1083;-22.9365601;-43.3514921
Avenida Geremario Dantas, 713;-22.9289981;-43.3538023
Avenida Geremario Dantas, 527;-22.92527;-43.3578406
Estrada de Jacarepagua, 7300;-22.9455302;-43.3389721
Estrada de Jacarepagua, 6206;-22.9544883;-43.3375456
Estrada do Tindiba, 1148;-22.9284232;-43.3651905
Estrada dos Tres Rios, 223;-22.9392088;-43.3416453
Rua Lopo Saraiva, 138 ;-22.925635;-43.35975
Rua Marechal Jose Bevilaqua, 240;-22.923261;-43.36932
Rua Tirol, 356;-22.940199;-43.3385247
Estrada Coronel Pedro Correia, 74;-22.968498;-43.390822
Rua Tirol, 606;-22.9395957;-43.3365295
Rua Bacairis, 106;-22.920207;-43.372278
Estrada do Tindiba, 2941;-22.91804;-43.376485
Estrada de Jacarepagua, 5684;-22.9578883;-43.336151
Avenida dos Mananciais, 771;-22.9170584;-43.3855556
Avenida Alberico Diniz, 1645;-22.886949;-43.392382
R. Euzebio de Almeida, 1645;-22.891015;-43.392033
Avenida Salvador Allende, 881;-22.9658411;-43.3965171
Estrada do Engenho Dagua, 2;-22.955552;-43.349606
Avenida Geremario Dantas, 1289;-22.9385312;-43.3473884
Estrada do Catonho, 650;-22.9070657;-43.3798223
Estrada da Soca, 29;-22.9125983;-43.3884708
Estrada Coronel Pedro Correa, 1470;-22.9717692;-43.3872686
