"pkCidade";"nmCidade"
"1";"Angra dos Reis                                                                                      "
"2";"Aperibe                                                                                             "
"3";"Araruama                                                                                            "
"4";"Areal                                                                                               "
"5";"Armacao de Buzios                                                                                   "
"6";"Arraial do Cabo                                                                                     "
"7";"Barra Mansa                                                                                         "
"8";"Barra do Pirai                                                                                      "
"9";"Belford Roxo                                                                                        "
"10";"Bom Jardim                                                                                          "
"11";"Bom Jesus do Itabapoana                                                                             "
"12";"Cabo Frio                                                                                           "
"13";"Cachoeiras de Macacu                                                                                "
"14";"Cambuci                                                                                             "
"15";"Campos dos Goytacazes                                                                               "
"16";"Cantagalo                                                                                           "
"17";"Carapebus                                                                                           "
"18";"Cardoso Moreira                                                                                     "
"19";"Carmo                                                                                               "
"20";"Casimiro de Abreu                                                                                   "
"21";"Comendador Levy Gasparian                                                                           "
"22";"Conceicao de Macabu                                                                                 "
"23";"Cordeiro                                                                                            "
"24";"Duas Barras                                                                                         "
"25";"Duque de Caxias                                                                                     "
"26";"Engenheiro Paulo de Frontin                                                                         "
"27";"Guapimirim                                                                                          "
"28";"Iguaba Grande                                                                                       "
"29";"Itaborai                                                                                            "
"30";"Itaguai                                                                                             "
"31";"Italva                                                                                              "
"32";"Itaocara                                                                                            "
"33";"Itaperuna                                                                                           "
"34";"Itatiaia                                                                                            "
"35";"Japeri                                                                                              "
"36";"Laje do Muriae                                                                                      "
"37";"Macae                                                                                               "
"38";"Macuco                                                                                              "
"39";"Mage                                                                                                "
"40";"Mangaratiba                                                                                         "
"41";"Marica                                                                                              "
"42";"Mendes                                                                                              "
"43";"Miguel Pereira                                                                                      "
"44";"Miracema                                                                                            "
"45";"Natividade                                                                                          "
"46";"Nilopolis                                                                                           "
"47";"Niteroi                                                                                             "
"48";"Nova Friburgo                                                                                       "
"49";"Nova Iguacu                                                                                         "
"50";"Paracambi                                                                                           "
"51";"Paraiba do Sul                                                                                      "
"52";"Parati                                                                                              "
"53";"Paty do Alferes                                                                                     "
"54";"Petropolis                                                                                          "
"55";"Pinheiral                                                                                           "
"56";"Pirai                                                                                               "
"57";"Porciuncula                                                                                         "
"58";"Porto Real                                                                                          "
"59";"Quatis                                                                                              "
"60";"Queimados                                                                                           "
"61";"Quissama                                                                                            "
"62";"Resende                                                                                             "
"63";"Rio Bonito                                                                                          "
"64";"Rio Claro                                                                                           "
"65";"Rio das Flores                                                                                      "
"66";"Rio das Ostras                                                                                      "
"67";"Rio de Janeiro                                                                                      "
"68";"Santa Maria Madalena                                                                                "
"69";"Santo Antonio de Padua                                                                              "
"70";"Sao Fidelis                                                                                         "
"71";"Sao Francisco de Itabapoana                                                                         "
"72";"Sao Goncalo                                                                                         "
"73";"Sao Joao da Barra                                                                                   "
"74";"Sao Joao de Meriti                                                                                  "
"75";"Sao Jose de Uba                                                                                     "
"76";"Sao Jose do Vale do Rio Preto                                                                       "
"77";"Sao Pedro da Aldeia                                                                                 "
"78";"Sao Sebastiao do Alto                                                                               "
"79";"Sapucaia                                                                                            "
"80";"Saquarema                                                                                           "
"81";"Seropedica                                                                                          "
"82";"Silva Jardim                                                                                        "
"83";"Sumidouro                                                                                           "
"84";"Tangua                                                                                              "
"85";"Teresopolis                                                                                         "
"86";"Trajano de Morais                                                                                   "
"87";"Tres Rios                                                                                           "
"88";"Valenca                                                                                             "
"89";"Varre-Sai                                                                                           "
"90";"Vassouras                                                                                           "
"91";"Volta Redonda                                                                                       "
"92";"Mesquita                                                                                            "
"93";"Belém                                                                                               "
"94";"Sem valor definido                                                                                  "
