"nmPonto"
"Avenida Geremario Dantas, 1083"
"Avenida Geremario Dantas, 713"
"Avenida Geremario Dantas, 527"
"Estrada de Jacarepagua, 7300"
"Estrada de Jacarepagua, 6206"
"Estrada do Tindiba, 1148"
"Estrada dos Tres Rios, 223"
"Rua Lopo Saraiva, 138 "
"Rua Marechal Jose Bevilaqua, 240"
"Rua Tirol, 356"
"Estrada Coronel Pedro Correia, 74"
"Rua Tirol, 606"
"Rua Bacairis, 106"
"Estrada do Tindiba, 2941"
"Estrada de Jacarepagua, 5684"
"Avenida dos Mananciais, 771"
"Avenida Alberico Diniz, 1645"
"R. Euzebio de Almeida, 1645"
"Avenida Salvador Allende, 881"
"Estrada do Engenho Dagua, 2"
"Avenida Geremario Dantas, 1289"
"Estrada do Catonho, 650"
"Estrada da Soca, 29"
"Estrada Coronel Pedro Correa, 1470"
