nmPonto;latitude;longitude
Avenida Geremário Dantas, 1083 (CDA MED);-22.9365601;-43.3514921
Avenida Geremário Dantas c/ Estrada do Pau Ferro;;
Avenida Geremário Dantas Nº. 527 (Auto Gerama);-22.926133;-43.356553
Estrada de Jacarepaguá Nº. 7300 c/ Volkswagem);-22.94553;-43.338972
Estrada de Jacarepagua nº6206 c/ Largo do Anil (Ouromil);-22.969025;-43.335533
Estrada do Tindiba Nº. 1148 (Chalé das Pedras);-22.928299;-43.365212
Estrada dos Três Rios (Banco do Brasil);-22.9389836;-43.3411912
Rua Lopo Saraiva Nº. 138 (Ponto de Ônibus);-22.92613;-43.359811
Rua Marechal José Beviláqua c/ Rua André Rocha (UPA);;
Rua Tirol c/ Rua Antônio Cordeiro;;
Estr. Coronel Pedro Correia, nº74 c/ Posto Shell;38.936573;-8.862023
R. Tirol nº606 c/ R. Comandante Rubens Silva;-22.938761;-43.337057
R. Bacairis c/ R. Apiacás (Ótica Nogueira);-9.5678422;-57.394852
Estr. do Tindiba c/ R. Caituba (P. ônibus prox. CAIXA);;
Estr. de Jacarepaguá c/ 1º ponto após o retorno;-23.781245;-47.263955
Avenida dos Mananciais, nº771 c/ Estrada da Soca ( Apenas embarque);-22.917444;-43.39322
Av. Albérico Diniz c/ Centro educacional Pinheiro Ramos;-22.887131;-43.391114
R. Euzébio de Almeida,1645 (P.ônibus após IGUI piscinas);-22.891015;-43.392033
Avenida Salvador Allende, nº 881 (Habib´s) ;;
Estrada do Engenho D'Água, 2;-22.9558639;-43.3406016
Avenida Geremário Dantas n°1289 (Restaurante Rancho Verde);-22.928088;-43.353872
Estrada do Catonho nº 650 (ponto de ônibus - Queen Motel);-22.899034;-43.387398
Estrada do Catonho, 650 (ponto de ônibus-Queen Motel);-22.899034;-43.387398
Praça Valdir Vieira c/ Estrda do Soca;-16.618835;-42.181659
Estr. Cel. Pedro Corrêa, 1470-1620 - Posto Petrobras;39.354404;-9.154601
